pincode,longitude,latitude
585326,77.4071749454,18.3025044601
585443,77.2957919598,18.2573704357
585316,76.854691046,17.5773108062
586209,75.9508025524,17.167548293
585222,77.2840007395,17.0771401757
585417,77.2105008029,18.2388807366
591229,74.2798831152,16.5131973685
585436,77.3458463812,18.1665897428
591248,75.2150274814,16.7765598961
585421,77.4969630109,18.1226107529
585411,77.1204394104,18.0928053732
585416,77.0007679253,18.0733108917
585328,77.2093126025,18.0435520742
585413,77.3158294159,18.0008371188
585402,77.4552698488,17.9791861428
585403,77.5296537509,17.8426843494
585327,76.9664808399,17.9002662662
585401,77.4889925,17.9101634567
585418,77.1348325521,17.8894608685
585201,77.1401673165,16.747920359
585414,77.2361807524,17.8670659033
591303,74.9248556261,16.6899654545
585415,77.3110710697,17.874194624
585419,76.7876408756,17.7614864995
586207,75.8591958115,17.3273513395
585226,77.3909498648,17.8117249651
585228,76.9244818374,17.1638273337
585317,77.1543191084,17.2124952782
585331,77.0160817203,17.7835639385
574244,74.886335409,13.239596579
585353,77.1051414181,17.8180573766
585229,76.959721922,17.169139017
585329,77.2531628344,17.7733994423
574203,75.2158214469,12.7842245313
585437,76.9071810828,17.7103446273
585330,77.0882725594,17.7171550596
585227,77.3682625965,17.6659139857
591305,74.7190490416,16.2911105547
585314,76.5852365289,17.6929659377
586206,76.3314621093,17.1199622501
585412,77.2078372247,17.6905214413
585313,77.0730977698,17.5815870084
585302,76.5169091028,17.5606939658
585306,77.2842943754,17.536792442
585311,76.6989703671,17.476718746
585104,76.8330038741,17.4672154931
591236,74.5416755009,16.2977214515
585307,77.4286643312,17.5029869114
585305,77.5369014726,17.4659364819
586104,75.6279826921,16.9237827152
585322,77.0669377558,17.4597921819
591306,74.792565136,16.275675349
585236,76.4293542646,17.414731038
585213,76.5958715328,17.3670097529
585303,76.8650111493,16.9193646583
585324,77.2850768563,17.3928935166
586205,75.6687270388,17.3685665522
585102,76.9411739897,17.3230374068
585312,77.1436305445,17.3331728434
585219,77.3936221838,16.8588387863
585320,77.3697440593,17.2865638275
585103,76.7631905259,17.3249448608
586204,75.7297249532,17.2569307924
591230,75.2083243747,16.6925974872
586203,76.0095917648,16.6110406352
585217,76.2161939117,17.2868045751
591315,74.7807102875,16.6955113621
577160,75.4901346212,13.2495528802
585101,76.8654999396,17.3361788101
591242,74.7253919968,16.6233258874
586111,76.0334827395,17.2591949674
585212,76.5087181764,17.176971651
585301,76.4005680523,17.2282316714
586211,75.9010239167,17.1824647409
585105,76.8448947445,17.3182321997
585265,76.5879344352,17.1919338789
585308,76.7486519283,17.1553212352
586117,75.7776446341,17.1426487137
585210,77.3595495157,17.1961082993
586217,76.0986069641,17.1398677742
585224,76.7681373751,16.5207176811
585211,77.1142143179,17.0822245039
586202,76.2246326264,17.0778975882
585292,77.1764600989,17.1294432063
586215,76.019453181,17.0052435833
585318,77.3958994593,17.0070629303
591216,74.510942177,16.6022292553
586112,75.8786050938,16.9585723776
585310,76.6679533895,16.9601859917
591240,75.1106838683,16.5867759758
585225,77.0003562434,17.0287024365
586119,75.7227422902,16.9918391447
586128,76.2743593457,16.8917939383
586123,76.3743064346,16.989993816
586108,75.7921959888,16.9826617269
585214,77.3543340165,16.8872726986
591219,74.4793011193,16.4962372123
584126,77.0318120992,16.3819552717
586114,75.4316858176,16.9129446048
591311,74.8829443196,16.6112782827
585218,77.0147761943,16.9003203673
591220,74.9719520057,16.5480653534
591265,75.3175881624,16.8297285637
586103,75.7342027645,16.8545886212
585325,76.5182869341,16.8312468361
591212,75.0654997423,16.8880230885
586130,75.5004745656,16.8167995124
591232,74.9813662615,16.8212570597
585223,76.9176526083,16.6947690675
585321,77.3200982535,16.7735612162
586127,75.9189130754,16.8272210924
585202,77.1396819241,16.7673371821
586115,76.1028194433,16.8186488709
586106,75.6301069321,16.8074175726
586101,75.7185404679,16.8172585162
591304,75.0739130845,16.7043197899
586109,75.755195096,16.805399298
585319,77.021747552,16.7106077563
585309,76.6413251023,16.7136117021
586120,76.2049312421,16.7232096325
585287,76.7569888764,16.7236616624
586125,75.598141275,16.5808352023
591234,74.8595285634,16.7387387125
586102,75.8617894447,16.726934431
591239,74.5569733922,16.5517079344
586122,75.7827770605,16.6546189834
586126,75.3770342273,16.6811085656
586113,75.5406379405,16.671052622
585216,76.5248118154,16.618525939
586118,76.3373042989,16.6590413751
591223,74.7243997214,16.6895293645
585315,77.3954171547,16.6473035695
585323,76.8093025139,16.6045269987
591316,74.8121076669,16.6412067934
585221,77.2747910738,16.569834895
587301,75.3688272341,16.532159775
585355,77.128767296,16.5301341159
591241,74.341704796,16.4703654113
586208,76.1100654897,16.5618043056
591217,74.8480036635,16.5574992833
587119,75.2438691866,16.5473855076
586141,75.5629263311,16.612936202
591244,74.6192367486,16.533676069
586214,76.3131171205,16.5231409413
591263,74.4598844335,16.5638374188
591213,74.6714902544,16.5097930215
591215,74.3890751521,16.5295013496
586121,75.7851307543,16.5354833415
585304,76.8696126284,16.5383821434
586216,75.8792748617,16.5033442039
591214,74.5162966992,16.5237106224
587311,75.1638439251,16.4862705025
591173,74.7207830908,16.5526831126
586210,75.6989517042,16.4645286841
585290,76.6937133196,16.4820205739
591317,74.7968417654,16.4691689784
587315,75.0490485643,16.4918111303
584111,76.9465143051,16.4140254124
586116,76.1214888285,16.4401164319
591235,74.9632619114,16.4162150321
585215,76.5500682969,16.44129694
586213,75.9652229529,16.3726979325
591247,74.5738879019,16.4647574464
587121,75.3910637811,16.3820276074
591211,74.428533153,16.4636826629
587117,75.501183753,16.4093380612
586201,75.8402225361,16.4036745284
587314,75.4140769337,16.4446998163
591237,74.3842309386,16.3914828608
584113,77.1423461136,16.3442685362
591228,74.4864230893,16.4499502078
586245,76.1903889388,16.3719136243
584116,76.8109517744,16.3381591911
587116,75.6238007864,16.321917762
591287,74.5260212176,16.413273396
591201,74.5867626159,16.4184719864
585291,76.505074713,16.3637149988
585237,76.3855358617,16.3324004466
591309,74.6222979205,16.2351394617
591222,74.7591901313,16.3596214066
591226,74.5759006865,16.35277674
587312,75.0877525173,16.3755946166
587313,75.2970124737,16.300374518
591312,74.9874704285,16.3283181473
587113,75.1910413424,16.3694689035
591238,74.4632248229,16.3794085228
584134,77.2757871638,16.29522751
584170,77.3809514099,16.3310377792
586124,76.2738938444,16.2654072206
584135,77.4942214778,16.3235133135
591225,74.4411168697,16.323348305
584139,76.6248290608,16.2770096986
586212,76.1345309639,16.3347208034
587207,75.9436189621,16.2752677478
591224,74.8970233513,16.2779695069
587111,75.7632907392,16.2360080032
591227,75.056213402,16.2240757844
591310,74.7735870022,16.2364456848
586129,76.1637509054,16.2415780538
591313,74.4160398742,16.286773668
584102,77.4521268355,16.2148219252
591340,74.54392757,16.2446498845
584127,76.3830200801,16.1766123287
591136,75.1501070495,16.2336925735
584129,76.9621516786,16.168486028
591314,74.4859406089,16.2518895386
584101,77.3481267817,16.2174571427
584136,77.1680145202,16.1778728812
584115,76.6979693123,16.1990013493
587115,75.9349963641,16.1934757073
587122,75.3635462722,16.1733993856
591231,74.7362989392,16.1857651801
587204,75.5070438093,16.1925580092
591307,74.8381786954,16.152035389
591221,74.55038935,16.1865015737
591218,74.7694618856,16.2128050364
591233,74.9443259008,16.1378601657
584122,76.5306334638,16.1141097603
584120,76.7821373253,16.0853629492
587103,75.6193684633,16.1814460457
584103,77.337547358,16.1457688729
587101,75.6785078608,16.178012203
591130,75.2513368925,16.0813915167
591107,74.659750307,16.1249750844
587118,76.0897942093,16.097315186
591308,74.7882126293,16.1771516663
574145,74.9391355542,12.9147679967
587112,75.9943170711,16.1048110616
591122,74.7013701601,16.0871467504
591243,74.5650613148,16.0807133667
591129,75.0316608984,16.0347298127
591114,75.1506638535,16.0286859179
583281,76.0287276351,15.8975165129
587125,76.2116335012,16.069987665
587202,75.9316192413,15.9192817941
587120,75.8437985081,16.1186886983
574233,75.1862053383,12.9035912148
587206,75.522503079,16.0502034732
587205,75.6643826267,16.0857290134
591246,74.5446727546,16.1261877401
584118,77.1191595991,16.0654091622
591344,74.8537999531,16.0394304372
584133,77.4150603606,16.0871834913
591254,74.4425542321,16.0740971007
591123,75.3475841847,15.9897263266
584123,76.9953893138,15.9875553715
577435,74.77752091,14.2085783452
584125,76.4194836143,15.9916860981
584203,77.1991500438,16.0297314357
587124,75.919800199,15.9996561217
587203,75.8034984938,16.0398448553
584202,77.2825497468,16.0071619196
591156,74.502360527,16.0047850567
587201,75.7013603647,15.9365313412
584140,77.4210540227,15.9911043053
591101,74.7019191359,15.9972774674
584124,76.601850832,15.9352656856
587154,76.1823097314,15.9607834215
590016,74.6037547321,15.9290030621
591124,74.5853687697,15.8461331338
591119,74.9237059507,15.9159123176
591113,74.5365073953,15.9624245586
587155,75.5192789015,15.9090081051
584138,76.7830468824,15.9385553376
